Idiom,Definition,Example
Kill two birds with one stone,Solve two tasks at the same time with one action.,Biking to work kills two birds with one stone. I am saving money and exercising.
Break a leg,Good luck!,"The girl was nervous about her performance, but we were confident that she would perform well. We told her to break a leg!"
Cut some slack,Not judge someone as strongly.,Mina was upset that her friend Wendy was late to the party. His mom explained that there was a traffic jam and said to cut Wendy some slack.
Cutting corners,To do something more easily or cheaply or both.,The company decided to use fake diamonds for the ring instead of real ones. They are clearly cutting corners.
Pull yourself together,To become calm after being angry or upset.,We can’t panic now. Pull yourself together!
Under the weather,Feeling sick.,I am feeling under the weather since I keep sneezing and coughing. I must be sick!
Bent out of shape,Angry or upset.,The people were bent out of shape when the dog accidentally broke the pot.
Hit the sack,Go to sleep.,I am feeling really tired. I am going to go hit the sack.
Beat around the bush,To avoid talking about something.,The workers were afraid to tell the boss about the accident so they decided to beat around the bush. The workers talked about their pets instead.
Your guess is as good as mine,When you don't know the answer.,Your guess is as good as mine. Sorry I don’t know the answer to your question.
Spill the beans,To tell secret information.,Please tell me your secret! Please spill the beans!
Piece of cake,Something easy to do.,"Wow, that test was really easy! What a piece of cake!"
Add fuel to the fire,Make a bad thing worse.,Mariam was already really upset about Yuna breaking her toy. Yuna added fuel to the fire by refusing to apologize. This made Mariam more upset.
Chicken out,To decide to not do something due to fear.,"Joel wanted to go on a roller coaster, but he chickened out at the last minute. He decided to watch other people ride instead."
Lend a hand,Help someone.,"Hey, I need help with this math problem. Could you lend a hand?"
Jack of all trades,A person who is good at many things.,"Fatma was a jack of all trades. She could play piano, speak several languages, and sing!"
Sweet tooth,A liking for sweet foods.,I think I have a sweet tooth. I can’t stop eating these sugary foods!
With a bang,In a sudden and exciting way.,The talented band will set your birthday party off with a bang.
